Game Number,Date,Stage,Team 1,Score,Team 2,Location 
1,27-May,First round,Sweden,3-2,Argentina,"Stadio Littoriale, Bologna"
2,27-May,First round,Austria,3-2,France,"Stadio Benito Mussolini, Turin"
3,27-May,First round,Germany,5-2,Belgium,"Stadio Giovanni Berta, Florence"
4,27-May,First round,Spain,3-1,Brazil,"Stadio Luigi Ferraris, Genoa"
5,27-May,First round,Hungary,4-2,Egypt,"Stadio Giorgio Ascarelli, Naples"
6,27-May,First round,Switzerland,3-2,Netherlands,"Stadio San Siro, Milan"
7,27-May,First round,Italy,7-1,United States,"Stadio Nazionale PNF, Rome"
8,27-May,First round,Czechoslovakia,2-1,Romania,"Stadio Littorio, Trieste"
9,31-May,Quarter-finals,Czechoslovakia,3-2,Switzerland,"Stadio Benito Mussolini, Turin"
10,31-May,Quarter-finals,Germany,2-1,Sweden,"Stadio San Siro, Milan"
11,31-May,Quarter-finals,Italy,1-1,Spain,"Stadio Giovanni Berta, Florence"
12,31-May,Quarter-finals,Austria,2-1,Hungary,"Stadio Littoriale, Bologna"
13,1-Jun,Quarter-finals,Italy,1-0,Spain,"Stadio Giovanni Berta, Florence"
14,3-Jun,Semi-finals,Italy,1-0,Austria,"Stadio San Siro, Milan"
15,3-Jun,Semi-finals,Czechoslov,3-1,Germany,"Stadio Nazionale PNF, Rome"
16,7-Jun,Third place,Germany,3-2,Austria,"Stadio Giorgio Ascarelli, Naples"
17,10-Jun,Final,Italy,2-1,Czechoslovakia,"Stadio Nazionale PNF, Rome"
