Game Number,Date,Stage,Team 1,Score,Team 2,Location
1,4-Jun,First round,Switzerland,1-1,Germany,"Parc des Princes, Paris"
2,5-Jun,First round,Hungary,6-0,Dutch East Indies,"V�lodrome Municipal, Reims"
3,5-Jun,First round,France,3-1,Belgium,"Stade Olympique de Colombes, Paris"
4,5-Jun,First round,Cuba,3-3,Romania,"Stade Chapou, Toulouse"
5,5-Jun,First round,Italy,2-1,Norway,"Stade V�lodrome, Marseille"
6,5-Jun,First round,Brazil,6-5,Poland,"Stade de la Meinau, Strasbourg"
7,5-Jun,First round,Czechoslovakia,3-0,Netherlands,"Stade municipal, Le Havre"
8,9-Jun,First round,Cuba,2-1,Romania,"Stade Chapou, Toulouse"
9,9-Jun,First round,Germany,2-4,Switzerland,"Parc des Princes, Paris"
10,12-Jun,Quarter-finals,Brazil,1-1,Czechoslovakia,"Parc Lescure, Bordeaux"
11,12-Jun,Quarter-finals,Switzerland,0-2,Hungary,"Stade Victor Boucquey, Lille"
12,12-Jun,Quarter-finals,Sweden,8-0,Cuba,"Stade du Fort Carr�, Antibes"
13,12-Jun,Quarter-finals,France,1-3,Italy,"Stade Olympique de Colombes, Paris"
14,14-Jun,Quarter-finals,Brazil,2-1,Czechoslovakia,"Parc Lescure, Bordeaux"
15,16-Jun,Semi-finals,Hungary,5-1,Sweden,"Parc des Princes, Paris"
16,16-Jun,Semi-finals,Italy,2-1,Brazil,"Stade V�lodrome, Marseille"
17,19-Jun,Third place,Brazil,4-2,Sweden,"Parc Lescure, Bordeaux"
18,19-Jun,Final,Italy,4-2,Hungary,"Stade Olympique de Colombes, Paris"
