Game Number,Date,Stage,Team 1,Score,Team 2,Location
7,8-Jun,First round,West Germany,3-1,Argentina,"Malm” Stadion, Malm”"
8,8-Jun,First round,Northern Ireland,1-0,Czechoslovakia,"™rjans Vall, Halmstad"
15,11-Jun,First round,Argentina,3-1,Northern Ireland,"™rjans Vall, Halmstad"
14,11-Jun,First round,West Germany,2-2,Czechoslovakia,"Olympiastadion, Helsingborg"
23,15-Jun,First round,West Germany,2-2,Northern Ireland,"Malm” Stadion, Malm”"
24,15-Jun,First round,Czechoslovakia,6-1,Argentina,"Olympiastadion, Helsingborg"
35,17-Jun,First round,Northern Ireland,2-1,Czechoslovakia,"Malm” Stadion, Malm”"
3,8-Jun,First round,France,7-3,Paraguay,"Idrottsparken, Norrk”ping"
4,8-Jun,First round,Yugoslavia,1-1,Scotland,"Arosvallen, V„ster†s"
11,11-Jun,First round,Yugoslavia,3-2,France,"Arosvallen, V„ster†s"
10,11-Jun,First round,Paraguay,3-2,Scotland,"Idrottsparken, Norrk”ping"
20,15-Jun,First round,France,2-1,Scotland,"Eyravallen, ™rebro"
19,15-Jun,First round,Paraguay,3-3,Yugoslavia,"Tunavallen, Eskilstuna"
1,8-Jun,First round,Sweden,3-0,Mexico,"R†sunda Stadium, Solna"
2,8-Jun,First round,Hungary,1-1,Wales,"Jernvallen, Sandviken"
9,11-Jun,First round,Mexico,1-1,Wales,"R†sunda Stadium, Solna"
16,12-Jun,First round,Sweden,2-1,Hungary,"R†sunda Stadium, Solna"
17,15-Jun,First round,Sweden,0-0,Wales,"R†sunda Stadium, Solna"
17,15-Jun,First round,Hungary,4-0,Mexico,"Jernvallen, Sandviken"
33,17-Jun,First round,Wales,2-1,Hungary,"R†sunda Stadium, Solna"
6,8-Jun,First round,Brazil,3-0,Austria,"Rimnersvallen, Uddevalla"
5,8-Jun,First round,Soviet Union,2-0,England,"Ullevi, Gothenburg"
12,11-Jun,First round,Brazil,0-0,England,"Ullevi, Gothenburg"
13,11-Jun,First round,Soviet Union,2-2,Austria,"Ryavallen, Bor†s"
22,15-Jun,First round,England,2-2,Austria,"Ryavallen, Bor†s"
21,15-Jun,First round,Brazil,2-0,Soviet Union,"Ullevi, Gothenburg"
34,17-Jun,First round,Soviet Union,1-0,England,"Ullevi, Gothenburg"
26,19-Jun,Quarter-finals,France,4-0,Northern Ireland,"Idrottsparken, Norrk”ping"
25,19-Jun,Quarter-finals,Sweden,2-0,Soviet Union,"R†sunda Stadium, Solna"
27,19-Jun,Quarter-finals,Brazil,1-0,Wales,"Ullevi, Gothenburg"
28,19-Jun,Quarter-finals,West Germany,1-0,Yugoslavia,"Malm” Stadion, Malm”"
29,24-Jun,Semi-finals,France,2-5,Brazil,"R†sunda Stadium, Solna"
30,24-Jun,Semi-finals,West Germany,1-3,Sweden,"Ullevi, Gothenburg"
31,28-Jun,Third place,West Germany,3-6,France,"Ullevi, Gothenburg"
32,29-Jun,Final,Sweden,2-5,Brazil,"R†sunda Stadium, Solna"
