Game Number,Date ,Stage,Team 1,Score,Team 2,Location
1,30 May,First Round,Uruguay,2-1,Colombia,"Estadio Carlos Dittborn, Arica"
5,31 May,First Round,Soviet Union,2-0,Yugoslavia,"Estadio Carlos Dittborn, Arica"
9,2 June,First Round,Yugoslavia,3-1,Uruguay,"Estadio Carlos Dittborn, Arica"
13,3 June,First Round,Soviet Union,4-4,Colombia,"Estadio Carlos Dittborn, Arica"
17,6 June,First Round,Soviet Union,2-1,Uruguay,"Estadio Carlos Dittborn, Arica"
21,7 June,First Round,Yugoslavia,5-0,Colombia,"Estadio Carlos Dittborn, Arica"
2,30 May,First Round,Chile,3-1,Switzerland,"Estadio Nacional, Santiago"
6,31 May,First Round,West Germany,0-0,Italy,"Estadio Nacional, Santiago"
10,2 June,First Round,Chile,2-0,Italy,"Estadio Nacional, Santiago"
14,3 June,First Round,West Germany,2-1,Switzerland,"Estadio Nacional, Santiago"
18,6 June,First Round,West Germany,2-0,Chile,"Estadio Nacional, Santiago"
22,7 June,First Round,Italy,3-0,Switzerland,"Estadio Nacional, Santiago"
3,30 May,First Round,Brazil,2-0,Mexico,"Estadio Sausalito, Vi¤a del Mar"
7,31 May,First Round,Czechoslovakia,1-0,Spain,"Estadio Sausalito, Vi¤a del Mar"
11,2 June,First Round,Brazil,0-0,Czechoslovakia,"Estadio Sausalito, Vi¤a del Mar"
15,3 June,First Round,Spain,1-0,Mexico,"Estadio Sausalito, Vi¤a del Mar"
19,6 June,First Round,Brazil,2-1,Spain,"Estadio Sausalito, Vi¤a del Mar"
23,7 June,First Round,Mexico,3-1,Czechoslovakia,"Estadio Sausalito, Vi¤a del Mar"
4,30 May,First Round,Argentina,1-0,Bulgaria,"Estadio El Teniente, Rancagua"
8,31 May,First Round,Hungary,2-1,England,"Estadio El Teniente, Rancagua"
12,2 June,First Round,England,3-1,Argentina,"Estadio El Teniente, Rancagua"
16,3 June,First Round,Hungary,6-1,Bulgaria,"Estadio El Teniente, Rancagua"
20,6 June,First Round,Hungary,0-0,Argentina,"Estadio El Teniente, Rancagua"
24,7 June,First Round,England,0-0,Bulgaria,"Estadio El Teniente, Rancagua"
25,10 June,Quarter-finals,Chile,2-1,Soviet Unio,"Estadio Carlos Dittborn, Arica"
26,10 June,Quarter-finals,Yugoslavia,1-0,West German,"Estadio Nacional, Santiago"
27,10 June,Quarter-finals,Brazil,3-1,England,"Estadio Sausalito, Vi¤a del Mar"
28,10 June,Quarter-finals,Czechoslovakia,1-0,Hungary,"Estadio El Teniente, Rancagua"
29,13 June,Semi-finals,Brazil,4-2,Chile,"Estadio Nacional, Santiago"
30,13 June,Semi-finals,Czechoslovakia,3-1,Yugoslavia,"Estadio Sausalito, Vi¤a del Mar"
31,16 June,Third place,Chile,1-0,Yugoslavia,"Estadio Nacional, Santiago"
32,17 June,Final,Brazil,3-1,Czechoslov,"Estadio Nacional, Santiago"
,,,,,,
