Match Number,Date,Stage,Team 1,Score,Team 2,Location
1,14-Jun,First round,West Germany,1-0,Chile,"Olympiastadion, West Berlin"
2,14-Jun,First round,East Germany,2-0,Australia,"Volksparkstadion, Hamburg"
9,18-Jun,First round,Chile,1-1,East Germany,"Olympiastadion, West Berlin"
10,18-Jun,First round,Australia,0-3,West Germany,"Volksparkstadion, Hamburg"
17,22-Jun,First round,Australia,0-0,Chile,"Olympiastadion, West Berlin"
18,22-Jun,First round,East Germany,1-0,West Germany,"Volksparkstadion, Hamburg"
3,13-Jun,First round,Brazil,0-0,Yugoslavia,"Waldstadion, Frankfurt"
4,14-Jun,First round,Zaire,0-2,Scotland,"Westfalenstadion, Dortmund"
11,18-Jun,First round,Yugoslavia,9-0,Zaire,"Parkstadion, Gelsenkirchen"
12,18-Jun,First round,Scotland,0-0,Brazil,"Waldstadion, Frankfurt"
19,22-Jun,First round,Scotland,1-1,Yugoslavia,"Waldstadion, Frankfurt"
20,22-Jun,First round,Zaire,0-3,Brazil,"Parkstadion, Gelsenkirchen"
5,15-Jun,First round,Uruguay,0-2,Netherlands,"Niedersachsenstadion, Hanover"
6,15-Jun,First round,Sweden,0-0,Bulgaria,"Rheinstadion, D《seldorf"
13,19-Jun,First round,Netherlands,0-0,Sweden,"Westfalenstadion, Dortmund"
14,19-Jun,First round,Uruguay,1-1,Bulgaria,"Niedersachsenstadion, Hanover"
21,23-Jun,First round,Netherlands,4-1,Bulgaria,"Westfalenstadion, Dortmund"
22,23-Jun,First round,Sweden,3-0,Uruguay,"Rheinstadion, D《seldorf"
7,15-Jun,First round,Italy,3-1,Haiti,"Olympiastadion, Munich"
8,15-Jun,First round,Poland,3-2,Argentina,"Neckarstadion, Stuttgart"
15,19-Jun,First round,Haiti,0-7,Poland,"Olympiastadion, Munich"
16,19-Jun,First round,Argentina,1-1,Italy,"Neckarstadion, Stuttgart"
23,23-Jun,First round,Argentina,4-1,Haiti,"Olympiastadion, Munich"
24,23-Jun,First round,Poland,2-1,Italy,"Neckarstadion, Stuttgart"
25,26-Jun,Second round,Brazil,1-0,East German,"Niedersachsenstadion, Hanover"
26,26-Jun,Second round,Netherlands,4-0,Argentina,"Parkstadion, Gelsenkirchen"
29,30-Jun,Second round,East Germany,0-2,Netherlands,"Parkstadion, Gelsenkirchen"
30,30-Jun,Second round,Argentina,1-2,Brazil,"Niedersachsenstadion, Hanover"
33,3-Jul,Second round,Argentina,1-1,East German,"Parkstadion, Gelsenkirchen"
34,3-Jul,Second round,Netherlands,2-0,Brazil,"Westfalenstadion, Dortmund"
27,26-Jun,Second round,Yugoslavia,0-2,West Germany,"Rheinstadion, D《seldorf"
28,26-Jun,Second round,Sweden,0-1,Poland,"Neckarstadion, Stuttgart"
31,30-Jun,Second round,West Germany,4-2,Sweden,"Rheinstadion, D《seldorf"
32,30-Jun,Second round,Poland,2-1,Yugoslavia,"Waldstadion, Frankfurt"
35,3-Jul,Second round,Poland,0-1,West Germany,"Waldstadion, Frankfurt"
36,3-Jul,Second round,Sweden,2-1,Yugoslavia,"Rheinstadion, D《seldorf"
37,6-Jul,Third place,Brazil,0-1,Poland,"Olympiastadion, Munich"
38,7-Jul,Final,Netherlands,1-2,West Germany,"Olympiastadion, Munich"
