Date,Ranking,NationalTeam
Sep-93,1,Brazil
Sep-93,2,Italy
Sep-93,5,England
Sep-93,6,Germany
Sep-93,7,France
Sep-93,8,Russia
Sep-93,10,Switzerland
Sep-93,12,Argentina
Sep-93,13,Netherlands
Sep-93,14,Spain
Sep-93,15,Uruguay
Sep-93,16,Mexico
Sep-93,18,Nigeria
Sep-93,19,Colombia
Sep-93,21,Portugal
Sep-93,23,Cameroon
Sep-93,24,Belgium
Sep-93,26,United States
Sep-93,30,Algeria
Sep-93,31,Ivory Coast
Sep-93,35,Greece
Sep-93,36,South Korea
Sep-93,38,Costa Rica
Sep-93,39,Honduras
Sep-93,41,Ecuador
Sep-93,42,Ghana
Sep-93,43,Japan
Sep-93,52,Chile
Sep-93,58,Iran
Sep-93,62,Bosnia-Herzegovina
Sep-93,65,Australia
Sep-93,116,Croatia
Oct-93,1,Brazil
Oct-93,3,Italy
Oct-93,4,Germany
Oct-93,6,Netherlands
Oct-93,7,Spain
Oct-93,9,Argentina
Oct-93,10,England
Oct-93,11,Russia
Oct-93,13,Switzerland
Oct-93,14,France
Oct-93,16,Nigeria
Oct-93,17,Uruguay
Oct-93,18,Mexico
Oct-93,19,Colombia
Oct-93,20,Portugal
Oct-93,22,Cameroon
Oct-93,24,Belgium
Oct-93,26,United States
Oct-93,31,Algeria
Oct-93,33,Ivory Coast
Oct-93,36,Greece
Oct-93,37,South Korea
Oct-93,38,Costa Rica
Oct-93,39,Honduras
Oct-93,40,Ghana
Oct-93,41,Ecuador
Oct-93,44,Japan
Oct-93,52,Chile
Oct-93,59,Iran
Oct-93,61,Australia
Oct-93,65,Bosnia-Herzegovina
Oct-93,118,Croatia
Nov-93,1,Brazil
Nov-93,3,Italy
Nov-93,4,Germany
Nov-93,6,Netherlands
Nov-93,7,Spain
Nov-93,9,Argentina
Nov-93,10,England
Nov-93,11,Russia
Nov-93,13,Switzerland
Nov-93,14,France
Nov-93,16,Nigeria
Nov-93,17,Uruguay
Nov-93,18,Mexico
Nov-93,19,Colombia
Nov-93,20,Portugal
Nov-93,22,Cameroon
Nov-93,24,Belgium
Nov-93,26,United States
Nov-93,31,Algeria
Nov-93,33,Ivory Coast
Nov-93,36,Greece
Nov-93,37,South Korea
Nov-93,38,Costa Rica
Nov-93,39,Honduras
Nov-93,40,Ghana
Nov-93,41,Ecuador
Nov-93,44,Japan
Nov-93,52,Chile
Nov-93,59,Iran
Nov-93,61,Australia
Nov-93,65,Bosnia-Herzegovina
Nov-93,118,Croatia
Dec-93,1,Germany
Dec-93,2,Italy
Dec-93,3,Brazil
Dec-93,5,Spain
Dec-93,7,Netherlands
Dec-93,8,Argentina
Dec-93,11,England
Dec-93,12,Switzerland
Dec-93,14,Russia
Dec-93,15,France
Dec-93,16,Mexico
Dec-93,17,Uruguay
Dec-93,18,Nigeria
Dec-93,20,Portugal
Dec-93,21,Colombia
Dec-93,22,United States
Dec-93,23,Cameroon
Dec-93,25,Belgium
Dec-93,33,Ivory Coast
Dec-93,34,Greece
Dec-93,35,Algeria
Dec-93,37,Ghana
Dec-93,40,Honduras
Dec-93,41,South Korea
Dec-93,42,Costa Rica
Dec-93,43,Japan
Dec-93,48,Ecuador
Dec-93,49,Australia
Dec-93,55,Chile
Dec-93,59,Iran
Dec-93,68,Bosnia-Herzegovina
Dec-93,122,Croatia
Feb-94,1,Germany
Feb-94,2,Brazil
Feb-94,3,Netherlands
Feb-94,6,Spain
Feb-94,7,Italy
Feb-94,8,Switzerland
Feb-94,9,Argentina
Feb-94,12,England
Feb-94,13,Russia
Feb-94,14,France
Feb-94,15,Nigeria
Feb-94,16,Uruguay
Feb-94,17,Mexico
Feb-94,19,Portugal
Feb-94,20,Colombia
Feb-94,21,United States
Feb-94,26,Belgium
Feb-94,29,Cameroon
Feb-94,31,Ivory Coast
Feb-94,32,Greece
Feb-94,35,Ghana
Feb-94,37,Algeria
Feb-94,39,Costa Rica
Feb-94,40,Honduras
Feb-94,42,South Korea
Feb-94,43,Japan
Feb-94,47,Australia
Feb-94,48,Ecuador
Feb-94,54,Chile
Feb-94,57,Iran
Feb-94,70,Bosnia-Herzegovina
Feb-94,122,Croatia
Mar-94,1,Germany
Mar-94,2,Brazil
Mar-94,5,Switzerland
Mar-94,6,Spain
Mar-94,8,Argentina
Mar-94,9,Netherlands
Mar-94,11,Italy
Mar-94,12,England
Mar-94,14,Mexico
Mar-94,15,France
Mar-94,16,Russia
Mar-94,17,Uruguay
Mar-94,18,Nigeria
Mar-94,19,Portugal
Mar-94,20,Colombia
Mar-94,21,United States
Mar-94,26,Cameroon
Mar-94,28,Ivory Coast
Mar-94,31,Ghana
Mar-94,33,Belgium
Mar-94,34,Greece
Mar-94,37,Algeria
Mar-94,39,Japan
Mar-94,40,South Korea
Mar-94,45,Australia
Mar-94,46,Ecuador
Mar-94,47,Honduras
Mar-94,48,Costa Rica
Mar-94,55,Chile
Mar-94,59,Iran
Mar-94,74,Bosnia-Herzegovina
Mar-94,125,Croatia
Apr-94,1,Brazil
Apr-94,2,Germany
Apr-94,4,Switzerland
Apr-94,5,Nigeria
Apr-94,7,Spain
Apr-94,8,Netherlands
Apr-94,10,Argentina
Apr-94,12,Russia
Apr-94,13,Italy
Apr-94,14,Mexico
Apr-94,15,France
Apr-94,16,England
Apr-94,18,Uruguay
Apr-94,20,Colombia
Apr-94,21,Ivory Coast
Apr-94,22,Portugal
Apr-94,23,United States
Apr-94,27,Cameroon
Apr-94,29,Ghana
Apr-94,33,Belgium
Apr-94,37,Greece
Apr-94,38,Algeria
Apr-94,40,South Korea
Apr-94,42,Japan
Apr-94,44,Australia
Apr-94,45,Ecuador
