Year,Country,Yellow Card,Red Card,Goals For,Goals Against
1930,Peru,0,1,1,4
1930,Belgium,0,0,0,4
1930,Bolivia,0,0,0,8
1930,Brazil,0,0,5,2
1930,Paraguay,0,0,1,3
1930,Romania,0,0,3,5
1930,Chile,0,0,5,3
1930,France,0,0,4,3
1930,Mexico,0,0,4,13
1930,United States,0,0,7,6
1930,Yugoslavia,0,0,7,7
1930,Uruguay,0,0,15,3
1930,Argentina,0,0,18,9
1934,Hungary,0,1,5,4
1934,Argentina,0,0,2,3
1934,Belgium,0,0,2,5
1934,Brazil,0,0,1,3
1934,Egypt,0,0,2,4
1934,France,0,0,2,3
1934,Netherlands,0,0,2,3
1934,Romania,0,0,1,2
1934,United States,0,0,1,7
1934,Sweden,0,0,4,4
1934,Switzerland,0,0,5,5
1934,Spain,0,0,4,3
1934,Austria,0,0,7,7
1934,Czechoslovakia,0,0,9,6
1934,Germany,0,0,11,8
1934,Italy,0,0,12,3
1938,Brazil,0,2,14,11
1938,Germany,0,1,3,5
1938,Czechoslovakia,0,1,5,3
1938,Belgium,0,0,1,3
1938,Dutch East Indies,0,0,0,6
1938,Netherlands,0,0,0,3
1938,Norway,0,0,1,2
1938,Poland,0,0,5,6
1938,France,0,0,4,4
1938,Romania,0,0,4,5
1938,Cuba,0,0,5,12
1938,Sweden,0,0,11,9
1938,Switzerland,0,0,5,5
1938,Hungary,0,0,15,5
1938,Italy,0,0,11,5
1950,Brazil,1,0,22,6
1950,Uruguay,0,0,15,5
1950,Sweden,0,0,11,15
1950,Spain,0,0,10,12
1950,Yugoslavia,0,0,7,3
1950,Chile,0,0,5,6
1950,Italy,0,0,4,3
1950,Switzerland,0,0,4,6
1950,United States,0,0,4,8
1950,England,0,0,2,2
1950,Paraguay,0,0,2,4
1950,Mexico,0,0,2,10
1950,Bolivia,0,0,0,8
1954,Hungary,0,1,27,10
1954,West Germany,0,0,25,14
1954,Austria,0,0,17,12
1954,Uruguay,0,0,16,9
1954,Switzerland,0,0,11,11
1954,Turkey,0,0,10,11
1954,Brazil,0,2,8,5
1954,England,0,0,8,8
1954,Italy,0,0,6,7
1954,Belgium,0,0,5,8
1954,France,0,0,3,3
1954,Yugoslavia,0,0,2,3
1954,Mexico,0,0,2,8
1954,Czechoslovakia,0,0,0,7
